tipo;algoritmo;linguagem;variante;tamanho;execucao;energia_j;energia_j_desvio;energia_cores_j;energia_ram_j;duracao_s;duracao_s_desvio;user_time_s;system_time_s;potencia_w;energia_por_elemento_j
exec;bolha;go;v1;50000;9;29,090000;NA;20,910000;5,300000;4,968393;NA;4,971000;0,004000;5,8550;0,000581800
exec;bolha;go;v1;50000;10;29,260000;NA;21,120000;5,340000;4,978422;NA;4,980000;0,008000;5,8774;0,000585200
exec;bolha;go;v1;100000;1;129,540000;NA;94,650000;27,050000;20,535008;NA;20,570000;0,016000;6,3083;0,001295400
exec;bolha;go;v1;100000;2;126,950000;NA;92,860000;24,880000;20,299131;NA;20,296000;0,044000;6,2540;0,001269500
exec;bolha;go;v1;100000;3;120,400000;NA;87,210000;22,740000;19,995909;NA;19,981000;0,048000;6,0212;0,001204000
exec;bolha;go;v1;100000;4;114,830000;NA;82,530000;21,130000;19,803397;NA;19,805000;0,032000;5,7985;0,001148300
exec;bolha;go;v1;100000;5;115,390000;NA;83,000000;21,150000;19,817277;NA;19,837000;0,012000;5,8227;0,001153900
exec;bolha;go;v1;100000;6;116,820000;NA;84,160000;21,500000;19,896150;NA;19,907000;0,024000;5,8715;0,001168200
exec;bolha;go;v1;100000;7;115,300000;NA;82,860000;21,200000;19,849017;NA;19,866000;0,016000;5,8089;0,001153000
exec;bolha;go;v1;100000;8;115,390000;NA;83,010000;21,130000;19,808889;NA;19,817000;0,028000;5,8252;0,001153900
exec;bolha;go;v1;100000;9;116,360000;NA;83,730000;21,390000;19,847221;NA;19,867000;0,012000;5,8628;0,001163600
exec;bolha;go;v1;100000;10;115,490000;NA;83,070000;21,280000;19,838450;NA;19,847000;0,024000;5,8215;0,001154900
exec;bolha;go;v2;10;1;0,020000;NA;0,020000;0,010000;0,003746;NA;0,002000;0,001000;5,3397;0,002000000
exec;bolha;go;v2;10;2;0,020000;NA;0,010000;0,010000;0,004131;NA;0,003000;0,000000;4,8409;0,002000000
exec;bolha;go;v2;10;3;0,020000;NA;0,010000;0,010000;0,003885;NA;0,000000;0,002000;5,1478;0,002000000
exec;bolha;go;v2;10;4;0,020000;NA;0,020000;0,010000;0,004080;NA;0,000000;0,002000;4,9020;0,002000000
exec;bolha;go;v2;10;5;0,020000;NA;0,020000;0,010000;0,003703;NA;0,002000;0,000000;5,4003;0,002000000
exec;bolha;go;v2;10;6;0,030000;NA;0,020000;0,010000;0,004365;NA;0,003000;0,000000;6,8733;0,003000000
exec;bolha;go;v2;10;7;0,020000;NA;0,020000;0,010000;0,004330;NA;0,003000;0,000000;4,6193;0,002000000
exec;bolha;go;v2;10;8;0,020000;NA;0,020000;0,010000;0,004154;NA;0,002000;0,000000;4,8143;0,002000000
exec;bolha;go;v2;10;9;0,030000;NA;0,020000;0,010000;0,005290;NA;0,000000;0,003000;5,6710;0,003000000
exec;bolha;go;v2;10;10;0,030000;NA;0,020000;0,010000;0,004285;NA;0,002000;0,000000;7,0006;0,003000000
exec;bolha;go;v2;100;1;0,020000;NA;0,020000;0,010000;0,003607;NA;0,000000;0,002000;5,5451;0,000200000
exec;bolha;go;v2;100;2;0,020000;NA;0,010000;0,010000;0,003516;NA;0,000000;0,002000;5,6878;0,000200000
exec;bolha;go;v2;100;3;0,020000;NA;0,020000;0,010000;0,003947;NA;0,002000;0,000000;5,0666;0,000200000
exec;bolha;go;v2;100;4;0,020000;NA;0,020000;0,010000;0,003898;NA;0,002000;0,000000;5,1308;0,000200000
exec;bolha;go;v2;100;5;0,040000;NA;0,030000;0,010000;0,005821;NA;0,000000;0,002000;6,8716;0,000400000
exec;bolha;go;v2;100;6;0,060000;NA;0,050000;0,020000;0,006487;NA;0,000000;0,004000;9,2486;0,000600000
exec;bolha;go;v2;100;7;0,020000;NA;0,020000;0,010000;0,003950;NA;0,000000;0,002000;5,0635;0,000200000
exec;bolha;go;v2;100;8;0,020000;NA;0,020000;0,010000;0,004267;NA;0,003000;0,000000;4,6872;0,000200000
exec;bolha;go;v2;100;9;0,050000;NA;0,040000;0,020000;0,008578;NA;0,004000;0,000000;5,8287;0,000500000
exec;bolha;go;v2;100;10;0,030000;NA;0,020000;0,010000;0,004173;NA;0,003000;0,000000;7,1898;0,000300000
exec;bolha;go;v2;1000;1;0,030000;NA;0,020000;0,010000;0,006146;NA;0,005000;0,000000;4,8814;0,000030000
exec;bolha;go;v2;1000;2;0,030000;NA;0,020000;0,010000;0,005555;NA;0,004000;0,000000;5,4005;0,000030000
exec;bolha;go;v2;1000;3;0,040000;NA;0,030000;0,010000;0,005687;NA;0,000000;0,004000;7,0342;0,000040000
exec;bolha;go;v2;1000;4;0,030000;NA;0,020000;0,010000;0,005323;NA;0,004000;0,000000;5,6357;0,000030000
exec;bolha;go;v2;1000;5;0,070000;NA;0,050000;0,030000;0,008204;NA;0,006000;0,000000;8,5324;0,000070000
exec;bolha;go;v2;1000;6;0,030000;NA;0,020000;0,010000;0,005297;NA;0,004000;0,000000;5,6638;0,000030000
exec;bolha;go;v2;1000;7;0,040000;NA;0,030000;0,010000;0,005438;NA;0,004000;0,000000;7,3553;0,000040000
exec;bolha;go;v2;1000;8;0,050000;NA;0,040000;0,020000;0,007713;NA;0,000000;0,006000;6,4824;0,000050000
exec;bolha;go;v2;1000;9;0,030000;NA;0,020000;0,010000;0,005464;NA;0,004000;0,000000;5,4901;0,000030000
exec;bolha;go;v2;1000;10;0,040000;NA;0,020000;0,010000;0,006095;NA;0,005000;0,000000;6,5632;0,000040000
exec;bolha;go;v2;10000;1;1,130000;NA;0,820000;0,210000;0,193300;NA;0,188000;0,004000;5,8458;0,000113000
exec;bolha;go;v2;10000;2;1,140000;NA;0,820000;0,210000;0,192778;NA;0,192000;0,000000;5,9135;0,000114000
exec;bolha;go;v2;10000;3;1,130000;NA;0,820000;0,210000;0,192612;NA;0,192000;0,000000;5,8667;0,000113000
exec;bolha;go;v2;10000;4;1,200000;NA;0,880000;0,240000;0,196238;NA;0,192000;0,004000;6,1150;0,000120000
exec;bolha;go;v2;10000;5;1,220000;NA;0,890000;0,240000;0,196109;NA;0,191000;0,004000;6,2210;0,000122000
exec;bolha;go;v2;10000;6;1,390000;NA;1,020000;0,300000;0,204567;NA;0,198000;0,004000;6,7949;0,000139000
exec;bolha;go;v2;10000;7;1,240000;NA;0,900000;0,260000;0,196735;NA;0,188000;0,008000;6,3029;0,000124000
exec;bolha;go;v2;10000;8;1,240000;NA;0,910000;0,260000;0,197534;NA;0,189000;0,008000;6,2774;0,000124000
exec;bolha;go;v2;10000;9;1,250000;NA;0,920000;0,270000;0,196961;NA;0,196000;0,000000;6,3464;0,000125000
exec;bolha;go;v2;10000;10;1,300000;NA;0,960000;0,280000;0,201468;NA;0,200000;0,000000;6,4526;0,000130000
exec;bolha;go;v2;50000;1;29,690000;NA;21,650000;5,230000;4,897379;NA;4,880000;0,008000;6,0624;0,000593800
exec;bolha;go;v2;50000;2;30,960000;NA;22,720000;5,670000;4,933128;NA;4,924000;0,016000;6,2759;0,000619200
exec;bolha;go;v2;50000;3;32,420000;NA;24,040000;6,160000;4,968483;NA;4,962000;0,016000;6,5251;0,000648400
exec;bolha;go;v2;50000;4;33,030000;NA;24,390000;6,680000;5,044315;NA;5,049000;0,008000;6,5480;0,000660600
exec;bolha;go;v2;50000;5;33,360000;NA;24,790000;6,720000;5,027829;NA;5,017000;0,020000;6,6351;0,000667200
exec;bolha;go;v2;50000;6;32,790000;NA;24,250000;6,480000;5,001351;NA;4,989000;0,024000;6,5562;0,000655800
exec;bolha;go;v2;50000;7;32,770000;NA;24,250000;6,500000;5,011396;NA;5,010000;0,012000;6,5391;0,000655400
exec;bolha;go;v2;50000;8;32,250000;NA;23,750000;6,340000;5,003261;NA;5,001000;0,012000;6,4458;0,000645000
exec;bolha;go;v2;50000;9;32,010000;NA;23,600000;6,180000;4,972938;NA;4,975000;0,008000;6,4368;0,000640200
exec;bolha;go;v2;50000;10;31,590000;NA;23,200000;5,980000;4,971046;NA;4,943000;0,036000;6,3548;0,000631800
exec;bolha;go;v2;100000;1;123,600000;NA;90,770000;22,930000;19,727510;NA;19,719000;0,052000;6,2654;0,001236000
exec;bolha;go;v2;100000;2;118,430000;NA;86,430000;20,750000;19,458833;NA;19,473000;0,020000;6,0862;0,001184300
exec;bolha;go;v2;100000;3;118,390000;NA;86,420000;20,780000;19,475797;NA;19,484000;0,024000;6,0788;0,001183900
exec;bolha;go;v2;100000;4;127,970000;NA;94,280000;24,580000;19,904027;NA;19,895000;0,052000;6,4294;0,001279700
exec;bolha;go;v2;100000;5;131,240000;NA;97,070000;26,110000;20,077871;NA;20,089000;0,036000;6,5365;0,001312400
exec;bolha;go;v2;100000;6;130,720000;NA;96,520000;25,970000;20,059149;NA;20,060000;0,048000;6,5167;0,001307200
exec;bolha;go;v2;100000;7;133,560000;NA;99,010000;27,170000;20,184933;NA;20,219000;0,016000;6,6168;0,001335600
exec;bolha;go;v2;100000;8;124,550000;NA;91,570000;22,730000;19,690239;NA;19,677000;0,056000;6,3255;0,001245500
exec;bolha;go;v2;100000;9;118,640000;NA;86,560000;20,810000;19,486830;NA;19,502000;0,020000;6,0882;0,001186400
exec;bolha;go;v2;100000;10;120,140000;NA;87,900000;21,100000;19,538124;NA;19,549000;0,028000;6,1490;0,001201400
exec;bolha;rust;v1;10;1;0,010000;NA;0,010000;0,000000;0,002548;NA;0,001000;0,000000;3,9248;0,001000000
exec;bolha;rust;v1;10;2;0,020000;NA;0,010000;0,000000;0,002521;NA;0,001000;0,000000;7,9343;0,002000000
exec;bolha;rust;v1;10;3;0,010000;NA;0,010000;0,000000;0,002573;NA;0,001000;0,000000;3,8865;0,001000000
exec;bolha;rust;v1;10;4;0,020000;NA;0,010000;0,010000;0,003458;NA;0,001000;0,000000;5,7841;0,002000000
exec;bolha;rust;v1;10;5;0,020000;NA;0,010000;0,010000;0,002892;NA;0,001000;0,000000;6,9164;0,002000000
exec;bolha;rust;v1;10;6;0,020000;NA;0,010000;0,010000;0,002807;NA;0,001000;0,000000;7,1240;0,002000000
exec;bolha;rust;v1;10;7;0,040000;NA;0,030000;0,010000;0,004787;NA;0,001000;0,000000;8,3552;0,004000000
exec;bolha;rust;v1;10;8;0,020000;NA;0,010000;0,010000;0,002787;NA;0,001000;0,000000;7,1774;0,002000000
exec;bolha;rust;v1;10;9;0,010000;NA;0,010000;0,000000;0,002758;NA;0,000000;0,001000;3,6255;0,001000000
exec;bolha;rust;v1;10;10;0,020000;NA;0,010000;0,010000;0,002758;NA;0,001000;0,000000;7,2523;0,002000000
exec;bolha;rust;v1;100;1;0,020000;NA;0,010000;0,000000;0,002555;NA;0,001000;0,000000;7,8291;0,000200000
exec;bolha;rust;v1;100;2;0,010000;NA;0,010000;0,000000;0,002788;NA;0,001000;0,000000;3,5873;0,000100000
exec;bolha;rust;v1;100;3;0,010000;NA;0,010000;0,000000;0,002656;NA;0,001000;0,000000;3,7649;0,000100000
exec;bolha;rust;v1;100;4;0,020000;NA;0,010000;0,010000;0,003002;NA;0,000000;0,001000;6,6612;0,000200000
exec;bolha;rust;v1;100;5;0,020000;NA;0,010000;0,010000;0,002961;NA;0,001000;0,000000;6,7540;0,000200000
exec;bolha;rust;v1;100;6;0,020000;NA;0,020000;0,010000;0,003427;NA;0,002000;0,000000;5,8359;0,000200000
exec;bolha;rust;v1;100;7;0,020000;NA;0,010000;0,010000;0,002900;NA;0,001000;0,000000;6,8964;0,000200000
exec;bolha;rust;v1;100;8;0,020000;NA;0,010000;0,010000;0,003031;NA;0,001000;0,000000;6,5996;0,000200000
exec;bolha;rust;v1;100;9;0,030000;NA;0,020000;0,020000;0,004606;NA;0,000000;0,002000;6,5134;0,000300000
exec;bolha;rust;v1;100;10;0,020000;NA;0,010000;0,000000;0,002814;NA;0,001000;0,000000;7,1083;0,000200000
exec;bolha;rust;v1;1000;1;0,020000;NA;0,020000;0,010000;0,004726;NA;0,003000;0,000000;4,2322;0,000020000
exec;bolha;rust;v1;1000;2;0,030000;NA;0,020000;0,010000;0,005176;NA;0,003000;0,000000;5,7958;0,000030000
exec;bolha;rust;v1;1000;3;0,030000;NA;0,020000;0,010000;0,004951;NA;0,000000;0,003000;6,0593;0,000030000
exec;bolha;rust;v1;1000;4;0,030000;NA;0,020000;0,010000;0,005208;NA;0,003000;0,000000;5,7606;0,000030000
exec;bolha;rust;v1;1000;5;0,040000;NA;0,030000;0,010000;0,005621;NA;0,003000;0,000000;7,1166;0,000040000
exec;bolha;rust;v1;1000;6;0,030000;NA;0,020000;0,010000;0,005082;NA;0,003000;0,000000;5,9033;0,000030000
exec;bolha;rust;v1;1000;7;0,030000;NA;0,020000;0,010000;0,005076;NA;0,003000;0,000000;5,9102;0,000030000
exec;bolha;rust;v1;1000;8;0,030000;NA;0,020000;0,010000;0,005125;NA;0,003000;0,000000;5,8539;0,000030000
exec;bolha;rust;v1;1000;9;0,030000;NA;0,020000;0,010000;0,005050;NA;0,003000;0,000000;5,9407;0,000030000
exec;bolha;rust;v1;1000;10;0,030000;NA;0,020000;0,010000;0,005161;NA;0,003000;0,000000;5,8123;0,000030000
exec;bolha;rust;v1;10000;1;1,210000;NA;0,850000;0,220000;0,207457;NA;0,202000;0,004000;5,8325;0,000121000
exec;bolha;rust;v1;10000;2;1,210000;NA;0,870000;0,230000;0,210395;NA;0,209000;0,000000;5,7511;0,000121000
exec;bolha;rust;v1;10000;3;1,200000;NA;0,860000;0,220000;0,209974;NA;0,208000;0,000000;5,7150;0,000120000
exec;bolha;rust;v1;10000;4;1,340000;NA;0,980000;0,280000;0,215377;NA;0,213000;0,000000;6,2216;0,000134000
exec;bolha;rust;v1;10000;5;1,320000;NA;0,960000;0,280000;0,214786;NA;0,209000;0,004000;6,1456;0,000132000
exec;bolha;rust;v1;10000;6;1,340000;NA;0,970000;0,290000;0,217267;NA;0,215000;0,000000;6,1675;0,000134000
exec;bolha;rust;v1;10000;7;1,350000;NA;0,970000;0,290000;0,214709;NA;0,209000;0,004000;6,2876;0,000135000
exec;bolha;rust;v1;10000;8;1,320000;NA;0,940000;0,270000;0,213657;NA;0,208000;0,004000;6,1781;0,000132000
exec;bolha;rust;v1;10000;9;1,300000;NA;0,940000;0,270000;0,216226;NA;0,213000;0,000000;6,0122;0,000130000
exec;bolha;rust;v1;10000;10;1,340000;NA;0,980000;0,290000;0,216417;NA;0,214000;0,000000;6,1917;0,000134000
exec;bolha;rust;v1;50000;1;30,170000;NA;21,620000;5,530000;5,192306;NA;5,190000;0,000000;5,8105;0,000603400
exec;bolha;rust;v1;50000;2;29,940000;NA;21,430000;5,520000;5,185833;NA;5,180000;0,004000;5,7734;0,000598800
