tipo,algoritmo,linguagem,variante,tamanho,execucao,energia_j,energia_cores_j,energia_ram_j,duracao_s,user_time_s,system_time_s,potencia_w,energia_por_elemento_j
exec,bolha,go,v2,10,1,"0,02","0,01","0,01","0,003154",0,0,"6,3409","0,002"
exec,bolha,go,v2,10,2,"0,01","0,01",0,"0,002871",0,0,"3,4828","0,001"
exec,bolha,go,v2,10,3,"0,02","0,01","0,01","0,003022",0,0,"6,6176","0,002"
exec,bolha,go,v2,10,4,"0,02","0,02","0,01","0,003062",0,0,"6,5322","0,002"
exec,bolha,go,v2,10,5,"0,02","0,01","0,01","0,002818",0,0,"7,097","0,002"
exec,bolha,go,v2,10,6,"0,02","0,01","0,01","0,002841",0,0,"7,0388","0,002"
exec,bolha,go,v2,10,7,"0,02","0,01","0,01","0,003045",0,0,"6,5692","0,002"
exec,bolha,go,v2,10,8,"0,02","0,01","0,01","0,002825",0,0,"7,0806","0,002"
exec,bolha,go,v2,10,9,"0,02","0,01","0,01","0,002573",0,0,"7,7736","0,002"
exec,bolha,go,v2,10,10,"0,02","0,01","0,01","0,003062",0,0,"6,532","0,002"
exec,bolha,go,v2,100,1,"0,02","0,01","0,01","0,003077",0,0,"6,5007","0,0002"
exec,bolha,go,v2,100,2,"0,01","0,01",0,"0,002552",0,0,"3,9191","0,0001"
exec,bolha,go,v2,100,3,"0,02","0,01","0,01","0,002928",0,0,"6,83","0,0002"
exec,bolha,go,v2,100,4,"0,03","0,02","0,01","0,003268",0,0,"9,181","0,0003"
exec,bolha,go,v2,100,5,"0,01","0,01",0,"0,002835",0,0,"3,5271","0,0001"
exec,bolha,go,v2,100,6,"0,02","0,01","0,01","0,002609",0,0,"7,6665","0,0002"
exec,bolha,go,v2,100,7,"0,02","0,01","0,01","0,002776",0,0,"7,2041","0,0002"
exec,bolha,go,v2,100,8,"0,02","0,01","0,01","0,003003",0,0,"6,6591","0,0002"
exec,bolha,go,v2,100,9,"0,02","0,01","0,01","0,002935",0,0,"6,8138","0,0002"
exec,bolha,go,v2,100,10,"0,02","0,01","0,01","0,002672",0,0,"7,4863","0,0002"
exec,bolha,go,v2,1000,1,"0,03","0,02","0,01","0,005059",0,0,"5,9298","0,00003"
exec,bolha,go,v2,1000,2,"0,03","0,02","0,01","0,004881",0,0,"6,1466","0,00003"
exec,bolha,go,v2,1000,3,"0,03","0,02","0,01","0,004668",0,0,"6,4264","0,00003"
exec,bolha,go,v2,1000,4,"0,03","0,02","0,01","0,004951",0,0,"6,0596","0,00003"
exec,bolha,go,v2,1000,5,"0,03","0,02","0,01","0,005363",0,0,"5,5944","0,00003"
exec,bolha,go,v2,1000,6,"0,04","0,03","0,01","0,005378",0,0,"7,4384","0,00004"
exec,bolha,go,v2,1000,7,"0,04","0,03","0,01","0,005064",0,0,"7,8988","0,00004"
exec,bolha,go,v2,1000,8,"0,03","0,02","0,01","0,004904",0,0,"6,1175","0,00003"
exec,bolha,go,v2,1000,9,"0,03","0,02","0,01","0,004923",0,0,"6,0943","0,00003"
exec,bolha,go,v2,1000,10,"0,03","0,02","0,01","0,005241",0,0,"5,7239","0,00003"
exec,bolha,go,v2,10000,1,"1,17","0,86","0,21","0,192258","0,18",0,"6,0856","0,000117"
exec,bolha,go,v2,10000,2,"1,16","0,84","0,21","0,192332","0,19",0,"6,0312","0,000116"
exec,bolha,go,v2,10000,3,"1,2","0,88","0,22","0,193579","0,18",0,"6,199","0,00012"
exec,bolha,go,v2,10000,4,"1,18","0,85","0,21","0,191084","0,18",0,"6,1753","0,000118"
exec,bolha,go,v2,10000,5,"1,17","0,84","0,21","0,191383","0,18",0,"6,1134","0,000117"
exec,bolha,go,v2,10000,6,"1,15","0,84","0,21","0,191875","0,18",0,"5,9935","0,000115"
exec,bolha,go,v2,10000,7,"1,16","0,84","0,21","0,192077","0,19",0,"6,0392","0,000116"
exec,bolha,go,v2,10000,8,"1,16","0,83","0,22","0,199004","0,19",0,"5,829","0,000116"
exec,bolha,go,v2,10000,9,"1,15","0,84","0,21","0,192272","0,18",0,"5,9811","0,000115"
exec,bolha,go,v2,10000,10,"1,14","0,83","0,21","0,191915","0,19",0,"5,9401","0,000114"
exec,bolha,go,v2,50000,1,"30,14","22,01","5,21","4,876506","4,87","0,01","6,1807","0,0006028"
exec,bolha,go,v2,50000,2,"29,98","21,93","5,21","4,881347","4,88",0,"6,1417","0,0005996"
exec,bolha,go,v2,50000,3,"30,32","22,18","5,24","4,890677","4,87","0,02","6,1996","0,0006064"
exec,bolha,go,v2,50000,4,"30,77","22,63","5,27","4,891894","4,89",0,"6,29","0,0006154"
exec,bolha,go,v2,50000,5,"30,26","22,18","5,22","4,871498","4,86","0,01","6,2116","0,0006052"
exec,bolha,go,v2,50000,6,"30,23","22,1","5,19","4,866395","4,87",0,"6,212","0,0006046"
exec,bolha,go,v2,50000,7,"30,22","22,14","5,22","4,880405","4,86","0,01","6,1921","0,0006044"
exec,bolha,go,v2,50000,8,"30,39","22,22","5,24","4,879395","4,88",0,"6,2282","0,0006078"
exec,bolha,go,v2,50000,9,"30,05","21,99","5,2","4,874183","4,86","0,01","6,1651","0,000601"
exec,bolha,go,v2,50000,10,"30,09","22,01","5,21","4,873058","4,87",0,"6,1748","0,0006018"
exec,bolha,go,v2,100000,1,"120,77","88,43","20,8","19,46159","19,44","0,04","6,2056","0,0012077"
exec,bolha,go,v2,100000,2,"120,54","88,19","20,81","19,479724","19,47","0,03","6,188","0,0012054"
exec,bolha,go,v2,100000,3,"121,24","88,79","20,78","19,464374","19,49",0,"6,2288","0,0012124"
exec,bolha,go,v2,100000,4,"120,66","88,31","20,8","19,472654","19,45","0,05","6,1964","0,0012066"
exec,bolha,go,v2,100000,5,"120,77","88,4","20,76","19,444031","19,45","0,02","6,2112","0,0012077"
exec,bolha,go,v2,100000,6,"120,25","87,97","20,77","19,465358","19,45","0,04","6,1776","0,0012025"
exec,bolha,go,v2,100000,7,"119,89","87,69","20,79","19,46662","19,48","0,01","6,1587","0,0011989"
exec,bolha,go,v2,100000,8,"120,25","87,96","20,77","19,45649","19,45","0,04","6,1805","0,0012025"
exec,bolha,go,v2,100000,9,"119,81","87,6","20,79","19,47301","19,48","0,02","6,1526","0,0011981"
exec,bolha,go,v2,100000,10,"120,47","88,17","20,87","19,482982","19,49","0,02","6,1833","0,0012047"
