tipo;algoritmo;linguagem;variante;tamanho;execucao;energia_j;energia_j_desvio;energia_cores_j;energia_ram_j;duracao_s;duracao_s_desvio;user_time_s;system_time_s;potencia_w;energia_por_elemento_j
exec;insertion;go;v1;50000;3;6,450000;NA;4,460000;1,250000;1,167760;NA;1,160000;0,000000;5,5234;0,000129000
exec;insertion;go;v1;50000;4;6,470000;NA;4,490000;1,260000;1,168441;NA;1,170000;0,000000;5,5373;0,000129400
exec;insertion;go;v1;50000;5;6,390000;NA;4,450000;1,250000;1,166235;NA;1,160000;0,000000;5,4792;0,000127800
exec;insertion;go;v1;50000;6;6,440000;NA;4,460000;1,250000;1,168288;NA;1,160000;0,000000;5,5123;0,000128800
exec;insertion;go;v1;50000;7;6,490000;NA;4,550000;1,250000;1,168467;NA;1,160000;0,000000;5,5543;0,000129800
exec;insertion;go;v1;50000;8;6,510000;NA;4,510000;1,260000;1,168102;NA;1,170000;0,000000;5,5731;0,000130200
exec;insertion;go;v1;50000;9;6,470000;NA;4,510000;1,260000;1,168654;NA;1,160000;0,000000;5,5363;0,000129400
exec;insertion;go;v1;50000;10;6,430000;NA;4,470000;1,250000;1,167924;NA;1,160000;0,000000;5,5055;0,000128600
exec;insertion;go;v1;100000;1;26,020000;NA;18,200000;4,950000;4,639753;NA;4,640000;0,010000;5,6081;0,000260200
exec;insertion;go;v1;100000;2;26,170000;NA;18,310000;4,970000;4,639226;NA;4,640000;0,000000;5,6410;0,000261700
exec;insertion;go;v1;100000;3;26,010000;NA;18,200000;4,950000;4,633908;NA;4,620000;0,010000;5,6130;0,000260100
exec;insertion;go;v1;100000;4;26,290000;NA;18,450000;4,990000;4,647085;NA;4,640000;0,010000;5,6573;0,000262900
exec;insertion;go;v1;100000;5;26,180000;NA;18,290000;4,960000;4,636024;NA;4,640000;0,000000;5,6471;0,000261800
exec;insertion;go;v1;100000;6;26,290000;NA;18,440000;4,980000;4,645588;NA;4,640000;0,010000;5,6591;0,000262900
exec;insertion;go;v1;100000;7;26,040000;NA;18,230000;4,950000;4,639383;NA;4,630000;0,010000;5,6128;0,000260400
exec;insertion;go;v1;100000;8;26,250000;NA;18,360000;4,960000;4,642301;NA;4,630000;0,010000;5,6545;0,000262500
exec;insertion;go;v1;100000;9;25,930000;NA;18,140000;4,950000;4,635980;NA;4,630000;0,000000;5,5932;0,000259300
exec;insertion;go;v1;100000;10;26,120000;NA;18,280000;4,950000;4,641549;NA;4,650000;0,000000;5,6274;0,000261200
exec;insertion;go;v2;10;1;0,020000;NA;0,010000;0,010000;0,003243;NA;0,000000;0,000000;6,1679;0,002000000
exec;insertion;go;v2;10;2;0,020000;NA;0,010000;0,010000;0,003193;NA;0,000000;0,000000;6,2631;0,002000000
exec;insertion;go;v2;10;3;0,020000;NA;0,010000;0,010000;0,002882;NA;0,000000;0,000000;6,9392;0,002000000
exec;insertion;go;v2;10;4;0,020000;NA;0,010000;0,010000;0,003095;NA;0,000000;0,000000;6,4615;0,002000000
exec;insertion;go;v2;10;5;0,020000;NA;0,010000;0,010000;0,002922;NA;0,000000;0,000000;6,8439;0,002000000
exec;insertion;go;v2;10;6;0,020000;NA;0,010000;0,010000;0,002610;NA;0,000000;0,000000;7,6642;0,002000000
exec;insertion;go;v2;10;7;0,020000;NA;0,010000;0,010000;0,002728;NA;0,000000;0,000000;7,3309;0,002000000
exec;insertion;go;v2;10;8;0,010000;NA;0,010000;0,000000;0,002739;NA;0,000000;0,000000;3,6510;0,001000000
exec;insertion;go;v2;10;9;0,020000;NA;0,010000;0,010000;0,003074;NA;0,000000;0,000000;6,5053;0,002000000
exec;insertion;go;v2;10;10;0,010000;NA;0,010000;0,000000;0,002679;NA;0,000000;0,000000;3,7333;0,001000000
exec;insertion;go;v2;100;1;0,020000;NA;0,010000;0,010000;0,002907;NA;0,000000;0,000000;6,8788;0,000200000
exec;insertion;go;v2;100;2;0,020000;NA;0,010000;0,010000;0,002704;NA;0,000000;0,000000;7,3953;0,000200000
exec;insertion;go;v2;100;3;0,020000;NA;0,010000;0,010000;0,003131;NA;0,000000;0,000000;6,3873;0,000200000
exec;insertion;go;v2;100;4;0,020000;NA;0,010000;0,010000;0,002956;NA;0,000000;0,000000;6,7661;0,000200000
exec;insertion;go;v2;100;5;0,020000;NA;0,010000;0,010000;0,003187;NA;0,000000;0,000000;6,2750;0,000200000
exec;insertion;go;v2;100;6;0,030000;NA;0,020000;0,010000;0,003084;NA;0,000000;0,000000;9,7279;0,000300000
exec;insertion;go;v2;100;7;0,010000;NA;0,010000;0,000000;0,002783;NA;0,000000;0,000000;3,5938;0,000100000
exec;insertion;go;v2;100;8;0,020000;NA;0,010000;0,010000;0,002836;NA;0,000000;0,000000;7,0516;0,000200000
exec;insertion;go;v2;100;9;0,010000;NA;0,010000;0,000000;0,002752;NA;0,000000;0,000000;3,6335;0,000100000
exec;insertion;go;v2;100;10;0,010000;NA;0,010000;0,000000;0,002714;NA;0,000000;0,000000;3,6845;0,000100000
exec;insertion;go;v2;1000;1;0,020000;NA;0,010000;0,010000;0,003613;NA;0,000000;0,000000;5,5355;0,000020000
exec;insertion;go;v2;1000;2;0,020000;NA;0,010000;0,010000;0,003514;NA;0,000000;0,000000;5,6920;0,000020000
exec;insertion;go;v2;1000;3;0,020000;NA;0,010000;0,010000;0,003589;NA;0,000000;0,000000;5,5732;0,000020000
exec;insertion;go;v2;1000;4;0,020000;NA;0,020000;0,010000;0,003551;NA;0,000000;0,000000;5,6319;0,000020000
exec;insertion;go;v2;1000;5;0,020000;NA;0,010000;0,010000;0,003164;NA;0,000000;0,000000;6,3201;0,000020000
exec;insertion;go;v2;1000;6;0,020000;NA;0,010000;0,010000;0,002974;NA;0,000000;0,000000;6,7247;0,000020000
exec;insertion;go;v2;1000;7;0,020000;NA;0,010000;0,010000;0,003116;NA;0,000000;0,000000;6,4184;0,000020000
exec;insertion;go;v2;1000;8;0,020000;NA;0,010000;0,010000;0,003053;NA;0,000000;0,000000;6,5506;0,000020000
exec;insertion;go;v2;1000;9;0,020000;NA;0,010000;0,010000;0,003048;NA;0,000000;0,000000;6,5618;0,000020000
exec;insertion;go;v2;1000;10;0,020000;NA;0,010000;0,010000;0,003032;NA;0,000000;0,000000;6,5962;0,000020000
exec;insertion;go;v2;10000;1;0,120000;NA;0,090000;0,030000;0,020924;NA;0,020000;0,000000;5,7349;0,000012000
exec;insertion;go;v2;10000;2;0,130000;NA;0,090000;0,030000;0,021275;NA;0,020000;0,000000;6,1106;0,000013000
exec;insertion;go;v2;10000;3;0,120000;NA;0,090000;0,020000;0,020866;NA;0,010000;0,000000;5,7509;0,000012000
exec;insertion;go;v2;10000;4;0,130000;NA;0,090000;0,030000;0,021182;NA;0,020000;0,000000;6,1373;0,000013000
exec;insertion;go;v2;10000;5;0,130000;NA;0,090000;0,030000;0,021278;NA;0,020000;0,000000;6,1095;0,000013000
exec;insertion;go;v2;10000;6;0,130000;NA;0,090000;0,030000;0,021231;NA;0,010000;0,000000;6,1232;0,000013000
exec;insertion;go;v2;10000;7;0,130000;NA;0,100000;0,030000;0,021451;NA;0,020000;0,000000;6,0602;0,000013000
exec;insertion;go;v2;10000;8;0,130000;NA;0,090000;0,030000;0,021371;NA;0,020000;0,000000;6,0831;0,000013000
exec;insertion;go;v2;10000;9;0,130000;NA;0,100000;0,030000;0,021356;NA;0,020000;0,000000;6,0873;0,000013000
exec;insertion;go;v2;10000;10;0,130000;NA;0,100000;0,030000;0,021656;NA;0,020000;0,000000;6,0029;0,000013000
exec;insertion;go;v2;50000;1;2,680000;NA;2,000000;0,470000;0,435599;NA;0,430000;0,000000;6,1524;0,000053600
exec;insertion;go;v2;50000;2;2,690000;NA;1,980000;0,470000;0,435282;NA;0,420000;0,000000;6,1799;0,000053800
exec;insertion;go;v2;50000;3;2,710000;NA;1,990000;0,470000;0,435246;NA;0,420000;0,000000;6,2264;0,000054200
exec;insertion;go;v2;50000;4;2,710000;NA;2,010000;0,490000;0,441189;NA;0,430000;0,000000;6,1425;0,000054200
exec;insertion;go;v2;50000;5;2,660000;NA;1,980000;0,470000;0,435093;NA;0,430000;0,000000;6,1136;0,000053200
exec;insertion;go;v2;50000;6;2,690000;NA;2,000000;0,480000;0,436382;NA;0,430000;0,000000;6,1643;0,000053800
exec;insertion;go;v2;50000;7;2,740000;NA;1,990000;0,470000;0,436348;NA;0,420000;0,000000;6,2794;0,000054800
exec;insertion;go;v2;50000;8;2,690000;NA;2,000000;0,470000;0,435980;NA;0,430000;0,000000;6,1700;0,000053800
exec;insertion;go;v2;50000;9;2,720000;NA;2,020000;0,480000;0,439912;NA;0,420000;0,010000;6,1831;0,000054400
exec;insertion;go;v2;50000;10;2,680000;NA;1,990000;0,480000;0,437090;NA;0,430000;0,000000;6,1315;0,000053600
exec;insertion;go;v2;100000;1;11,600000;NA;8,670000;1,940000;1,805643;NA;1,810000;0,000000;6,4243;0,000116000
exec;insertion;go;v2;100000;2;11,540000;NA;8,640000;1,930000;1,805646;NA;1,800000;0,000000;6,3911;0,000115400
exec;insertion;go;v2;100000;3;11,690000;NA;8,760000;1,940000;1,802873;NA;1,790000;0,020000;6,4841;0,000116900
exec;insertion;go;v2;100000;4;11,920000;NA;8,970000;1,950000;1,816279;NA;1,810000;0,000000;6,5629;0,000119200
exec;insertion;go;v2;100000;5;12,140000;NA;9,160000;2,000000;1,829150;NA;1,820000;0,000000;6,6370;0,000121400
exec;insertion;go;v2;100000;6;11,790000;NA;8,850000;1,940000;1,809140;NA;1,810000;0,000000;6,5169;0,000117900
exec;insertion;go;v2;100000;7;11,750000;NA;8,810000;1,940000;1,800941;NA;1,800000;0,000000;6,5244;0,000117500
exec;insertion;go;v2;100000;8;11,760000;NA;8,820000;1,950000;1,806139;NA;1,800000;0,000000;6,5111;0,000117600
exec;insertion;go;v2;100000;9;11,540000;NA;8,650000;1,930000;1,804465;NA;1,800000;0,000000;6,3952;0,000115400
exec;insertion;go;v2;100000;10;11,570000;NA;8,670000;1,930000;1,804792;NA;1,790000;0,010000;6,4107;0,000115700
exec;insertion;rust;v1;10;1;0,020000;NA;0,010000;0,010000;0,002813;NA;0,000000;0,001000;7,1099;0,002000000
exec;insertion;rust;v1;10;2;0,010000;NA;0,010000;0,000000;0,002489;NA;0,001000;0,000000;4,0172;0,001000000
exec;insertion;rust;v1;10;3;0,020000;NA;0,010000;0,000000;0,002607;NA;0,000000;0,001000;7,6730;0,002000000
exec;insertion;rust;v1;10;4;0,020000;NA;0,010000;0,010000;0,002749;NA;0,001000;0,000000;7,2753;0,002000000
exec;insertion;rust;v1;10;5;0,020000;NA;0,010000;0,010000;0,002988;NA;0,001000;0,000000;6,6937;0,002000000
exec;insertion;rust;v1;10;6;0,010000;NA;0,010000;0,000000;0,002639;NA;0,001000;0,000000;3,7898;0,001000000
exec;insertion;rust;v1;10;7;0,020000;NA;0,010000;0,010000;0,002556;NA;0,000000;0,001000;7,8247;0,002000000
exec;insertion;rust;v1;10;8;0,020000;NA;0,010000;0,010000;0,002891;NA;0,001000;0,000000;6,9178;0,002000000
